id,question_id,answer
38766943,7620678,0
38766943,7620684,0
38766943,7620683,0
38766943,7620682,0
38766943,7620681,0
38766943,7620680,0
38766943,7584322,0
38766943,7584457,0
38766943,7584456,0
38766943,7584455,0
38766943,7584452,0
38766943,7584549,0
38766943,7584470,0
38766943,7584469,0
38766943,7584468,0
38766943,7584466,0
38766943,7584464,0
38766943,7584463,0
38766943,7625390,0
38766943,7625393,0
38766943,7625394,0
38766943,7625399,0
38766943,7625398,0
38766943,7625397,0
38766943,7625489,0
38766943,7626259,Less than 20
38766943,7603624,Spanish
38766943,8022757,Intereuropean Division
38766943,7625572,2
38766943,7576106,Spanish Union
38766943,7576218,True
38766943,7576220,True
38766943,7576219,True
38766943,7584247,True
38766943,7584508,True
38766943,7584512,True
38766943,7584513,True
38766943,7584518,True
38766943,7584519,True
38766943,7584522,True
38766943,7625400,True
38766943,7625403,True
38766943,7625402,True
38766943,7625401,True
38766943,7625407,True
38766943,7625411,True
38766943,7625410,True
38766943,7625409,True
38766943,7625408,True
38766943,7625406,True
38766943,7625405,True
38766943,7625497,True
38766943,7625480,True
38766943,7625481,True
38766943,7625667,True
38766943,7625496,True
38766943,7625495,True
38766943,7625498,True
38766943,7625713,True
38766943,7625758,
38766943,7625760,True
38766943,7625764,True
38766943,7625765,True
38766943,7625767,True
38766943,7625766,True
38766943,7625850,True
38766943,7625854,True
38766943,7625853,True
38766943,7625852,True
38766943,7625855,
38766943,7625858,True
38766943,7625857,True
38766943,7625859,True
38766943,7625862,True
38766943,7625856,True
38766943,7625864,True
38766943,7625865,True
38766943,7625863,True
38766943,7626077,True
38766943,7626226,True
38766943,7626230,True
38766943,7626358,True
38766943,7626357,True
38766943,7626356,True
38766943,7626229,False
38766943,7626228,False
38766943,7626227,False
38766943,7626718,False
38766943,7626715,False
38766943,7626717,False
38766943,7626716,False
38766943,7626743,False
38766943,7626744,False
38766943,7626745,False
38766943,7626746,False
38766943,7626747,False
38766943,7626749,False
38766943,7626748,False
38766943,7626751,False
38766943,7626750,False
38766943,7626781,False
38766943,7626771,False
